judul,penulis,penerbit,isbn,tahun_terbit,rak,kategori,harga_ganti,stok,deskripsi
Kiai Abdul Jalal I,E.R Asura,Imania,9786027926141,2014,800,Sastra,75000,1,Kiai Abdul Jalal I
Bella,Munif Chatib,Mizan Pustaka,9786020851150,2015,800,Sastra,75000,1,Bella
Samudra Pasai,Putra Gara,Hikmah (PT Mizan Pustaka),9789793714578,2010,800,Sastra,75000,1,Samudra Pasai
D'Rival,Nur Afiani,DAR! Mizan,9786022427131,2017,800,Sastra,75000,1,D'Rival
Secretly Greatly,Choi Jong Hun,Secondwind,9786027662223,2026,800,Sastra,75000,1,Secretly Greatly
Rahasia Aisyah,Naila Yumna Salsabila,PT Mizan Pustaka,9786024200602,2016,800,Sastra,75000,1,Rahasia Aisyah
Mama Cake,Moemoe Rizal,PT Mizan Pustaka,9786028994880,2012,800,Sastra,75000,1,Mama Cake
Story Land Dunia Peri Yang Hilang,Irfan Aqila,TaliKata,9786028906760,2011,800,Sastra,75000,1,Story Land Dunia Peri Yang Hilang
A Story Of Dreamers,Julia ,DAR! Mizan,9786022426448,2015,800,Sastra,75000,1,A Story Of Dreamers
The Last Exam,Sucia Ramadhani,Mizan Media Utama,9786022420514,2012,800,Sastra,75000,1,The Last Exam
Time Will Tell,"Okke Sepatumerah, Riri Sardjono",Gagas Media,9797806170,2013,800,Sastra,75000,1,Time Will Tell
The Naked Traveler 8,Trinity ,B First,9786024261061,2019,800,Sastra,75000,1,The Naked Traveler 8
Petir,Dee Lestari,Bentang Pustaka,9786028811736,2012,800,Sastra,75000,1,Petir
REEM ,Sinta Yudisia,PT Mizan Pustaka,9786026716118,2017,800,Sastra,75000,1,REEM 
Kerikil Tajam Dan Yang Terampas Dan Yang Putus,Chairil Anwar,Narasi,9786025792113,2018,800,Sastra,75000,1,Kerikil Tajam Dan Yang Terampas Dan Yang Putus
The 100 Year Old Man Climbed Out of The Window and Disappeared,Jonas Jonasson,Bentang Pustaka,9786022910183,2013,800,Sastra,75000,1,The 100 Year Old Man Climbed Out of The Window and Disappeared
Beasiswa Ditelapak Kaki Ibu,Irfan Amalee,PT Mizan Pustaka,9786029255515,2013,800,Sastra,75000,1,Beasiswa Ditelapak Kaki Ibu
TOFL Perburuan Bintang Siirius (bagian 2),Prof. Yohanes Surya,PT Kandel,9786027505179,2012,800,Sastra,75000,1,TOFL Perburuan Bintang Siirius (bagian 2)
Kimi dan Buku Ajaib,30 Penulis Cilik,Penerbit Bestari,9786023410668,2016,800,Sastra,75000,1,Kimi dan Buku Ajaib
Tale Of Angel,Rizki Fitriani,DAR! Mizan,9786022421474,2014,800,Sastra,75000,1,Tale Of Angel
Ali Baba and The Forty Thieves,Janet Hardy-Gould,Oxford University Press,9780194249348,2012,800,Sastra,75000,1,Ali Baba and The Forty Thieves
Tarian Salju Karaban,Aulal Muna dkk,Kemendikbud Dirjen Pendidikan Dasar,9786021389041,2015,800,Sastra,75000,1,Tarian Salju Karaban
Jeda Dalam Koma,Padma Alina,Plot Point Publishing,9786029481594,2014,800,Sastra,75000,1,Jeda Dalam Koma
Kado Untuk Ratu,Hilal Ahmad Ina Inong,Gong Publishing,9786029117035,2011,800,Sastra,75000,1,Kado Untuk Ratu
The Alchemist's Secret,Scott Mariani,Qanita,9786028579780,2011,800,Sastra,75000,1,The Alchemist's Secret
Hijrah Bang Tato,Fahd Pahdepie,PT. Bentang Pustaka,9786022914334,2017,800,Sastra,75000,1,Hijrah Bang Tato
Nikah Tanpa Masalah,Dr. Samihah Mahmud Gharib,Nakhlah Pustaka,9789791026086,2007,800,Sastra,75000,1,Nikah Tanpa Masalah
Kolam,Sapardi Djoko Damono,PT Gramedia Pustaka Utama,9786020339627,2009,800,Sastra,75000,1,Kolam
Cinta Bintang Kejora,I.R. Adi & Ade Anita,Gema Insani,9795619160,2004,800,Sastra,75000,1,Cinta Bintang Kejora
Hujan Bulan Juni,Sapardi Djoko Damono,Gramedia Pustaka Utama,9786020318431,2015,800,Sastra,75000,1,Hujan Bulan Juni
Rahasia Cinta,Novita Rahayu,PT Kawan Pustaka,139786028388781,2013,800,Sastra,75000,1,Rahasia Cinta
The Jurnal Of Dream,"Zahra Fulli Addini, Dkk",PT Mizan Pustaka,9786022425830,2015,800,Sastra,75000,1,The Jurnal Of Dream
Travel(Love)Ing 2,Tirta Prayudha Dkk,Gradian Mediatama,9786022081197,2013,800,Sastra,75000,1,Travel(Love)Ing 2
 Ngenest Ngetawain Hidup Ala Ernest 3,Ernest Prakasa,Rak Buku,9786027114088,2015,800,Sastra,75000,1, Ngenest Ngetawain Hidup Ala Ernest 3
Ada Berita Apa Hari Ini. Den Sastro?,Sapardi Djoko Damono,Gramedia Pustaka Utama,9786020339634,2017,800,Sastra,75000,1,Ada Berita Apa Hari Ini. Den Sastro?
Simfoni Pianis Cilik,Hikmah Azizah,DAR! Mizan,9786022425250,2014,800,Sastra,75000,1,Simfoni Pianis Cilik
Peter Pan ,J.M. Barrie,Fantasious,9786020900339,2015,800,Sastra,75000,1,Peter Pan 
Hello Sister,Farida Hisna Shabila,PT Mizan Pustaka,9786022425441,2015,800,Sastra,75000,1,Hello Sister
Fearfacer 1: Sapaan untuk sang terpercaya,Esa Khairiana,Mizan Pustaka Utama,9786022426547,2015,800,Sastra,75000,1,Fearfacer 1: Sapaan untuk sang terpercaya
Syam'un : Asal Muasal Lailatul Qadar,Rully Ferdiansyah,Republika Penerbit,9786020822174,2020,800,Sastra,75000,1,Syam'un : Asal Muasal Lailatul Qadar
Dalam Semesta Cinta ,Pipiet Senja,PT Luxsima Metromedia,9786022680154,2013,800,Sastra,75000,1,Dalam Semesta Cinta 
Jomblosaurus,Dion Bimasakti,Cakrawala,9789794050057,2015,800,Sastra,75000,1,Jomblosaurus
You're Not Funny Enough,Jacob Julia,PING!!!,9786022556176,2014,800,Sastra,75000,1,You're Not Funny Enough
Bocah Muslim di Neger James Bond,Imran Ahmad ,Mizan,9789794335680,2007,800,Sastra,75000,1,Bocah Muslim di Neger James Bond
Serambi Cinta Di Negeri Cahaya,Syiffanis Amaar,Loveable,9786020900193,2014,800,Sastra,75000,1,Serambi Cinta Di Negeri Cahaya
Bumi Manusia,Pramoedya Ananta Toer,Lentrera Dipantara,9789799731234,2005,800,Sastra,75000,1,Bumi Manusia
Senyum Dahlan,Tasaro G.K,Noura Books,9796021606902,2013,800,Sastra,75000,1,Senyum Dahlan
Spooky Stories: Penghuni Keempat,Kinta,PT Mizan Pustaka,9786021606445,2013,800,Sastra,75000,1,Spooky Stories: Penghuni Keempat
The Dormitory,Andika Kaya,PT Mizan Publika,9786023850181,2015,800,Sastra,75000,1,The Dormitory
Me and Lionel Messi ,Veronica W.,DAR Mizan,9789790666962,2011,800,Sastra,75000,1,Me and Lionel Messi 
Lucy Cattermole,Rana Amani,PT. Mizan Pustaka,9786022423782,2015,800,Sastra,75000,1,Lucy Cattermole
Happiness,Wulan Arisa,PT. Mizan Pustaka,9789790668812,2012,800,Sastra,75000,1,Happiness
Phobia,Ikhsanny Novira,PT Mizan Pustaka,9786024201289,2016,800,Sastra,75000,1,Phobia
Mimpi Kecil Tita,Desi Puspita Sari,Republika Penerbit,9786020822532,2017,800,Sastra,75000,1,Mimpi Kecil Tita
Nyanyian Akar Rumput,Wiji Thukul ,PT Gramedia Pustaka ,9786020302898,2014,800,Sastra,75000,1,Nyanyian Akar Rumput
"Alexandra & Ali Topan"" Ku Selalu Ada""",Jenar Maulani & Teguh Esha,Republika,9789793210865,2007,800,Sastra,75000,1,"Alexandra & Ali Topan"" Ku Selalu Ada"""
Jantung Hatiku,Damai Pandu Nata,Zettu,9786027735972,2013,800,Sastra,75000,1,Jantung Hatiku
Menari Di Surga,Agustrijanto,Gema Insani,9795618636,2004,800,Sastra,75000,1,Menari Di Surga
Nyanyian Anak Garuda,M. Farisy Maulana Yusuf,Mizan Pustaka,9786022423638,2014,800,Sastra,75000,1,Nyanyian Anak Garuda
Amira: Cinta Dari Tanah Surga,Suliwe,Gema Insani Press,9789790772465,2011,800,Sastra,75000,1,Amira: Cinta Dari Tanah Surga
Ekaristi,Mario F Lawi,Plot Point,9786029481679,2014,800,Sastra,75000,1,Ekaristi
Lost And Found,Hawa Annisa,PT Mizan Pustaka,9786022426325,2014,800,Sastra,75000,1,Lost And Found
Tolong Panggil Nama Saya,Siwi Tri Puji Budiwiyati,Republika,9789791102797,2010,800,Sastra,75000,1,Tolong Panggil Nama Saya
The Dolphin Dreams ,"Panji Pratama, dkk.",de TEENS,9786022790860,2013,800,Sastra,75000,1,The Dolphin Dreams 
"Tangkaplah Daku, Kau Kujitak!",Hilman,PT Gramedia Pustaka Utama,9789792296419,2013,800,Sastra,75000,1,"Tangkaplah Daku, Kau Kujitak!"
Catatan Hati di Setiap Doaku,"Asma Nadia,dkk",Asma Nadia Publishing House,9786029055092,2012,800,Sastra,75000,1,Catatan Hati di Setiap Doaku
Ayat-ayat Cinta 2,Habiburrahman El Shirazy,PT Pustaka Abdi Bangsa,9786020822150,2015,800,Sastra,75000,1,Ayat-ayat Cinta 2
Melukis Pelangi,Oki Setiana Dewi,Mizan Pustaka,9786029255294,2012,800,Sastra,75000,1,Melukis Pelangi
"Cinta,Ketulusan dan Kesunyian",Kahlil Gibran,Bentang Pustaka,9798793340,1997,800,Sastra,75000,1,"Cinta,Ketulusan dan Kesunyian"
Love Therapy,Irma Rahayu,Mizan Publika,9786029498837,2012,800,Sastra,75000,1,Love Therapy
Hirameki Hatsume-chan 3,Daioki,PT Bentang Pustaka,9786027975811,2014,800,Sastra,75000,1,Hirameki Hatsume-chan 3
Hanako Si Arwah Penasaran 17,"Aidalro, Anggi Virgianti",Elex Media Komputindo,9786230035807,2022,800,Sastra,75000,1,Hanako Si Arwah Penasaran 17
Rinduku Sederas Hujan Sore Itu,J.S Khairen,Noura Books,9786023853304,2017,800,Sastra,75000,1,Rinduku Sederas Hujan Sore Itu
Swiss Family Robinson,Johann David Wyss,PT. Bentang Pustaka,9786028811460,2011,800,Sastra,75000,1,Swiss Family Robinson
Tenaga Kerja Istimewa,Naiqueen,Bentang Pustaka,9786022911203,2015,800,Sastra,75000,1,Tenaga Kerja Istimewa
123 Kutipan Film Oke,Hikmat Darmawan,Bentang Pustaka,9786029481068,2012,800,Sastra,75000,1,123 Kutipan Film Oke
Melepaskan,Dindin Komarudin,Wahyu Qolbu,9786026358394,2017,800,Sastra,75000,1,Melepaskan
Ada Syurga Di Tapak Kaki Ibu,Moch Saiful Bakhri,Erlangga,9797816893,2026,800,Sastra,75000,1,Ada Syurga Di Tapak Kaki Ibu
Merindu Baginda Nabi,Habiburrahman El-Shirazy,Republika,9786025734199,2018,800,Sastra,75000,1,Merindu Baginda Nabi
Selingkuh,Paulo Coelho,PT. Gramedia Pustaka Utama,9786020312071,2014,800,Sastra,75000,1,Selingkuh
Survival Guide For Moslem Girl In UK,Maria Ahmed,DAR! Mizan,9786022428251,2015,800,Sastra,75000,1,Survival Guide For Moslem Girl In UK
Kemenangan Mimpi,Fauzan Muttaqien,Gema Insani,9786022502425,2014,800,Sastra,75000,1,Kemenangan Mimpi
Dan Rasul pun Tersenyum,Nashihatku,Salam Books,9786024181369,2017,800,Sastra,75000,1,Dan Rasul pun Tersenyum
Supernova Partikel 4,Dee/Dewi Lestari,Bentang Pustaka,9786028811743,2012,800,Sastra,75000,1,Supernova Partikel 4
Tatkala Leukimia Meretas Cinta,DR. H. Siti Fadilah Supari SP.JK(K),Mizan Publika,9786028767316,2010,800,Sastra,75000,1,Tatkala Leukimia Meretas Cinta
The Habit Journal,Atomic Habits,Gramedia Pustaka Utama,9786020663142,2022,800,Sastra,75000,1,The Habit Journal
Cinta Suci Zahrana,Habiburrahman El Shirazy,Ihwah Publishing House,9786029822168,2011,800,Sastra,75000,1,Cinta Suci Zahrana
Habis Gelap Terbitlah Terang,Armijn Pane,Balai Pustaka,9794070637,2004,800,Sastra,75000,1,Habis Gelap Terbitlah Terang
Catatan Hati Seorang Istri,Asma Nadia,Asma Nadia Publishing House,9786029055030,2014,800,Sastra,75000,1,Catatan Hati Seorang Istri
Cat Me If You Can,Amelia,Teen Noura,9786027816688,2013,800,Sastra,75000,1,Cat Me If You Can
Komet,Tere Liye,Gramedia Pustaka Utama,9786020385938,2018,800,Sastra,75000,1,Komet
The X-News Files,Howston Kurniawan,Wahyu Media,9797957233,2013,800,Sastra,75000,1,The X-News Files
Valentino Rossi Di Balik Gunung Mokol,H. Alfiyah M.Pd,Cipta Media Edukasi,9786025838972,2018,800,Sastra,75000,1,Valentino Rossi Di Balik Gunung Mokol
Angan Senja Senyum Pagi,Fahd Pahdepie,Falcon Publishing,9786026051455,2017,800,Sastra,75000,1,Angan Senja Senyum Pagi
MS Right And MR. Wrong,Alya Noor Aminah Saleh,DAR! Mizan,9786027870680,2014,800,Sastra,75000,1,MS Right And MR. Wrong
Dilan 1990,Vidi Baiq,Mizan Pustaka,9786027870864,2016,800,Sastra,75000,1,Dilan 1990
Negeri Di Ujung Tanduk,Tere Liye,Gramedia Pustaka Utama,9789792294293,2018,800,Sastra,75000,1,Negeri Di Ujung Tanduk
Indonesia Mengajar,Anies Baswedan,Bentang,9786028811576,2013,800,Sastra,75000,1,Indonesia Mengajar
Kenangan Hujan,Dy Lunaly,Falcon,9786026714589,2019,800,Sastra,75000,1,Kenangan Hujan
Galuh Hati,Randu,Kawah Media,9797958167,2014,800,Sastra,75000,1,Galuh Hati
Radio Galau,Radio Galau & Friend,Wahyu Media,979795577x,2012,800,Sastra,75000,1,Radio Galau
Bintang,Tere Liye,Gramedia Pustaka Utama,9786020351179,2017,800,Sastra,75000,1,Bintang
"Love Me, Love Me, Love Me Not",Raichi Ryelf,Sheila,9789792952742,2015,800,Sastra,75000,1,"Love Me, Love Me, Love Me Not"
Sagaras,Tere Liye,Sabakgrip Nusantara,9786239726256,2022,800,Sastra,75000,1,Sagaras
Sepatu Terakhir,Toni Tegar Sahidi,Republika,9786027595217,2012,800,Sastra,75000,1,Sepatu Terakhir
Saranghae Suju,Ratna Puji Lestari,Dar! Mizan,9786022424444,2014,800,Sastra,75000,1,Saranghae Suju
Love Without Limits,"Nick Vujicic, kanae Vujicic",Gramedia Pustaka Utama,9786020325866,2016,800,Sastra,75000,1,Love Without Limits
Kumpulan Dongeng Motivasi,Arleen ,Bhuana Ilmu Populer,9786023946280,2017,800,Sastra,75000,1,Kumpulan Dongeng Motivasi
After A Long Time ,Retno Handi & Kamal Agusta,Sivi Andi Offset,9789792921847,2014,800,Sastra,75000,1,After A Long Time 
Negeri 5 Menara,A. Fuadi,Gramedia Pustaka Utama,9789792248616,2009,800,Sastra,75000,1,Negeri 5 Menara
Hujan ,Tere Liye,Sabakgrip Nusantara,9786239987879,2022,800,Sastra,75000,1,Hujan 
Perjalanan Rasa,Fahd Pahdepie,Bentang Pustaka,9786022914617,2018,800,Sastra,75000,1,Perjalanan Rasa
Bidadari Paderi,Saiful A. Imam,Republika,November,2007,800,Sastra,75000,1,Bidadari Paderi
Bidadari-Bidadari Surga,Tere Liye,Republika,9789791102261,2011,800,Sastra,75000,1,Bidadari-Bidadari Surga
Sisi Gelap Cinta,Mira W,Gramedia Pustaka Utama,9786020319575,2015,800,Sastra,75000,1,Sisi Gelap Cinta
Hairless,Ranti Hannah,Gagasmedia,9797804887,2011,800,Sastra,75000,1,Hairless
The Journal Of Dream,"Zahra Fulli Addini, dkk",PT Mizan Pustaka,9786022425830,2015,800,Sastra,75000,1,The Journal Of Dream
Karleen and The Magical Book,Firda Amelia Noor,PT Mizan Pustaka,9786024202569,2016,800,Sastra,75000,1,Karleen and The Magical Book
Detektif Conan 15,Aoyama Gosho,Elex Media Komputindo,9789792004496,1998,800,Sastra,75000,1,Detektif Conan 15
Rahasia Pintu Merah,"Zoraya Yonita, Dkk",PT Mizan Pustaka,9786022428770,2015,800,Sastra,75000,1,Rahasia Pintu Merah
Change!,Derby Dian Utama,Gema Insani Press,9789790770706,2008,800,Sastra,75000,1,Change!
Graffiti Lukisan Tentang Persahabatan dan Persaingan ,Aldeka Kamilia Mufidah,DAR! Mizan,9786022424833,2014,800,Sastra,75000,1,Graffiti Lukisan Tentang Persahabatan dan Persaingan 
Seutas Ganal,Irma Rahayu,Andi Offset,9789792913095,2010,800,Sastra,75000,1,Seutas Ganal
Melbourne ,Winna Efendi,Gagas Media,9797806456,2014,800,Sastra,75000,1,Melbourne 
Ivore & Akoya,Sabita Nurafifah,DAR! Mizan,9786022427094,2015,800,Sastra,75000,1,Ivore & Akoya
3 Burung Kecil,Mikha Ramadewi,Mizan Media Utama,9786029481310,2013,800,Sastra,75000,1,3 Burung Kecil
Nyona Jetset,Alberthein Endah,Gramedia Pustaka Utama,9789792247893,2009,800,Sastra,75000,1,Nyona Jetset
Pergi,Tere Liye,PT Sabak Grip Nusantara,9786239554514,2022,800,Sastra,75000,1,Pergi
"Saranghae, I love You",Ayu Widya,Mizan Pustaka,9786021637326,2014,800,Sastra,75000,1,"Saranghae, I love You"
The Sand Of Time,Sidney Sheldon,Gramedia Pustaka Utama,9789792247244,2009,800,Sastra,75000,1,The Sand Of Time
69 Cara Traveling Gratis,Trinity & Yasmin,B First,9786024260965,2018,800,Sastra,75000,1,69 Cara Traveling Gratis
Amanda Quick,"Sylfentri, Andriyanti",Dastan Books,9786028723756,2011,800,Sastra,75000,1,Amanda Quick
Yoyoh Yusroh Mutiara Yang Telah Tiada,Tim GIP,Gema Insani,9789790772731,2011,800,Sastra,75000,1,Yoyoh Yusroh Mutiara Yang Telah Tiada
Kingkong Jatuh Cinta,Ari Kinoysan,Andi Offset,9789792900705,2007,800,Sastra,75000,1,Kingkong Jatuh Cinta
Bunga Kematian,Asyraf Sayyid,Gema Insani Press,9795613510,1997,800,Sastra,75000,1,Bunga Kematian
The Leader Who Had No Title,Robin Sharma,Bentang Pustaka,9786022915065,2019,800,Sastra,75000,1,The Leader Who Had No Title
Look! New York,Fazil Abdullah,Gema Insani Press,9795619977,2005,800,Sastra,75000,1,Look! New York
Scarlett Latter,Nathanil Hautorne,Narasi,9789791684064,2015,800,Sastra,75000,1,Scarlett Latter
Melangkah Dengan Bismillah,Ikan Satriati,Republika,9786020822211,2016,800,Sastra,75000,1,Melangkah Dengan Bismillah
Anak Muslim,Aruma Assegaf,Mizan Pustaka,9786021128237,2014,800,Sastra,75000,1,Anak Muslim
Jadi Lawan Yang Baik,Endah Nawang Novianti,Elex Media Komputindo,9786020252827,2014,800,Sastra,75000,1,Jadi Lawan Yang Baik
Nanti Kita Cerita Tentang Hari Ini,Marchella FP,PT Gramedia,9786024811235,2019,800,Sastra,75000,1,Nanti Kita Cerita Tentang Hari Ini
Tukang Singkong Naik Haji The Stories ,Satria Nova,PT Mizan Pustaka,9786024180836,2017,800,Sastra,75000,1,Tukang Singkong Naik Haji The Stories 
Ramadhan Ala Muslim Seoul,Noredine Allam,Mizan Pustaka,9786022422594,2010,800,Sastra,75000,1,Ramadhan Ala Muslim Seoul
Janji,Tere Liye,PT Sabak Grip Nusantara,9786239726201,2022,800,Sastra,75000,1,Janji
Prince William & KT Middleton ,Vickiy Shipton,Scholastic,9781906861865,2011,800,Sastra,75000,1,Prince William & KT Middleton 
Hikmah Dalam Humor Kisah Dan Pepatah,A.Aziz Salim Basyarahil,Gema Insani Press,9795610503,1998,800,Sastra,75000,1,Hikmah Dalam Humor Kisah Dan Pepatah
Inspiring Mom & Dad,Rahmat Affandi,Gema Insani Press,9789790772076,2010,800,Sastra,75000,1,Inspiring Mom & Dad
While in The Moment,Asti Yulinia,PT. Mizan Pustaka,9786022426271,2015,800,Sastra,75000,1,While in The Moment
Ayat-Ayat Cinta 1,Habiburrahman El Shirazy,Republika,9793604026,2008,800,Sastra,75000,1,Ayat-Ayat Cinta 1
Kutinggalkan Dia Karena DIA ,DuniaJilbab & Ummu_Rumaisha81,WahyuQolbu,9797959589,2015,800,Sastra,75000,1,Kutinggalkan Dia Karena DIA 
Berani Bermimpi,Elie Mulyadi,Mizan Pustaka,9786029255867,2014,800,Sastra,75000,1,Berani Bermimpi
Between Us ,Alfida Fawazi ,CV. Andi Offset,9789792941746,2014,800,Sastra,75000,1,Between Us 
Mencari Jalan ke Hati Bunda,Fithri,Gema Insani,9795617761,2002,800,Sastra,75000,1,Mencari Jalan ke Hati Bunda
Teka-Teki Rubi Merah,Fayanna Ailisha Davianny,PT. Mizan Pustaka,9786022426646,2015,800,Sastra,75000,1,Teka-Teki Rubi Merah
Selfie Stories,Dewi Rieka,Penerbit Mizan Pustaka,9786020851280,2015,800,Sastra,75000,1,Selfie Stories
Gamers ,Soup ,PT. Mizan Pustaka,9786024200800,2016,800,Sastra,75000,1,Gamers 
Delapan Sisi ,"Adityarakhman, dkk",Bentang Pustaka,9786029481440,2013,800,Sastra,75000,1,Delapan Sisi 
Test Pack,Ninit Yunita,Gagas Media,9793600969,2005,800,Sastra,75000,1,Test Pack
Kidung Kembara,Pipiet Senja,Gema Insani,9795618040,2002,800,Sastra,75000,1,Kidung Kembara
Tirah,Erast Yuu,Scritto Books Publisher,9786025134739,2018,800,Sastra,75000,1,Tirah
Spooky Stories: Revenge,Salsa Putri,Noura Books,9786021306864,2014,800,Sastra,75000,1,Spooky Stories: Revenge
Cindaku,"Nelfi Syafrina, dkk",PT. Mizan Pustaka,9786022428275,2015,800,Sastra,75000,1,Cindaku
Barefoot in Baghdad,Manal M. Omar,PT. Mizan Pustaka,9786029225365,2014,800,Sastra,75000,1,Barefoot in Baghdad
Rahasia Cinta Gadis Jelita,K. Usman,Republika Penerbit,9799793210964,2007,800,Sastra,75000,1,Rahasia Cinta Gadis Jelita
Si Markum ,Zaenal Radar T.,PT. Pustaka Alvabet,9786026577139,2017,800,Sastra,75000,1,Si Markum 
Rasa ,Tere Liye,PT. Sabak Grip Nusantara,9786239726232,2022,800,Sastra,75000,1,Rasa 
I Love Hijab,Tabrize Khanza Btariamzo,DAR Mizan,9786024203870,2017,800,Sastra,75000,1,I Love Hijab
I Love Japan,Nasywa Salsabila,DAR Mizan,9786022429784,2016,800,Sastra,75000,1,I Love Japan
The Journal of Parisien Girl,Esa Khairina Husein,PT. Mizan Pustaka,9786022424475,2014,800,Sastra,75000,1,The Journal of Parisien Girl
Andai Kamu Tahu,O. Solihin,Gema Insani ,9795618768,2004,800,Sastra,75000,1,Andai Kamu Tahu
Rose's Wonderful Day,Dwipuspita Ramadhanti,PT. Mizan Pustaka,9786022420682,2014,800,Sastra,75000,1,Rose's Wonderful Day
Dunia Lain di Mataku,Nostalgiawan,Gema Insani ,9795618180,2003,800,Sastra,75000,1,Dunia Lain di Mataku
Cinta Tak Ada Mati,Eka Kurniawan,PT. Gramedia Pustaka Utama,9786020386355,2018,800,Sastra,75000,1,Cinta Tak Ada Mati
Mia The Ghost Hunter: Idol Wishes,Satrio Ririt Sutarno,PT. Mizan Pustaka,9786021128879,2015,800,Sastra,75000,1,Mia The Ghost Hunter: Idol Wishes
Never Give Up,Alfatira Gema,DAR! Mizan,9786022429357,2017,800,Sastra,75000,1,Never Give Up
Bunga Penyelamat ,Fida Zalfa Lathifah Yasmin,DAR! Mizan,9786024201357,2016,800,Sastra,75000,1,Bunga Penyelamat 
The cupcake World,Siti Nailazikri Virananda,PT. Mizan Pustaka,9786024201760,2016,800,Sastra,75000,1,The cupcake World
Berburu Hadiah,Anisa Widayati,PT Mizan Pustaka,9786024202446,2017,800,Sastra,75000,1,Berburu Hadiah
The Real Princess,I'tiya Natijanul Husna,DAR! Mizan,9786022428022,2016,800,Sastra,75000,1,The Real Princess
The Days with My Sister,Rashikhah Shoha Qurratul Aini,DAR Mizan,9786022427506,2015,800,Sastra,75000,1,The Days with My Sister
Three Boys And Three Girls,Annisa Humairani,Mizan Pustaka,9789790667624,2012,800,Sastra,75000,1,Three Boys And Three Girls
From Holland With Love,Yasmin Azzahra Rahman,PT. Mizan Pustaka,9786022426998,2015,800,Sastra,75000,1,From Holland With Love
Karang Berbisik,Salma dkk,DAR! Mizan,9786022424505,2014,800,Sastra,75000,1,Karang Berbisik
The Ghost In My School,Berliana Putri Muliatama,PT Mizan Pustaka,9786022423065,2015,800,Sastra,75000,1,The Ghost In My School
Pinka Rossi Sahabat Kecilku,Jea,DAR ! Mizan,9786022427773,2017,800,Sastra,75000,1,Pinka Rossi Sahabat Kecilku
Cincin Ajaib,CACA,PT Mizan Pustaka,9786022427919,2016,800,Sastra,75000,1,Cincin Ajaib
My Secret Identity,Athaya Sholeha,PT. Mizan Pustaka,9786024203467,2017,800,Sastra,75000,1,My Secret Identity
Finding Fra,Oryza Sativa Apriyani,PT. Mizan Pustaka,9786022426400,2015,800,Sastra,75000,1,Finding Fra
Gelang Persahabatan,Danish,DAR! Mizan,9786024203443,2017,800,Sastra,75000,1,Gelang Persahabatan
Kecil-Kecil Punya Karya; Misteri Ombak Foughville,"Ayesha Kamila Rafifah, dkk",DAR! Mizan,9786022424741,2014,800,Sastra,75000,1,Kecil-Kecil Punya Karya; Misteri Ombak Foughville
Sepeda & Sahabat,Safina,DAR! Mizan,9786024201463,2016,800,Sastra,75000,1,Sepeda & Sahabat
The Star Girls,Nisrina Hanifah,PT. Mizan Pustaka,9786024201869,2008,800,Sastra,75000,1,The Star Girls
Permen-Permen Cinta Untukmu,Abdurahman Faiz,DAR! Mizan,9786024203788,2017,800,Sastra,75000,1,Permen-Permen Cinta Untukmu
Beautiful Days,Nabila Nurkhalisah Harris,PT. Mizan Pustaka,9786024201180,2016,800,Sastra,75000,1,Beautiful Days
Rahasia Mama,Azella Maulidya Hardiansyah,Mizan Pustaka,9786022429012,2017,800,Sastra,75000,1,Rahasia Mama
Dirly Girly,Nadia,PT Mizan Pustaka,9786024200169,2016,800,Sastra,75000,1,Dirly Girly
Pelukis Cilik,Zumrotush Sholihah,PT Mizan Pustaka,9786024201449,2016,800,Sastra,75000,1,Pelukis Cilik
Life in Dormitory,Aletha Diani Haq,Mizan Pustaka,9786022427315,2015,800,Sastra,75000,1,Life in Dormitory
Detektif Pembersih Toilet,Rubee Putri Risdiyanto,PT. Mizan Pustaka,9786022427780,2016,800,Sastra,75000,1,Detektif Pembersih Toilet
(Not) a Best Friend Kendy dan Max Bersahabat Lagi,Queen Aura,DAR! Mizan,9786022427889,2015,800,Sastra,75000,1,(Not) a Best Friend Kendy dan Max Bersahabat Lagi
Diamond Girls,R.R. Ditya Mutiara Syifa,PT Mizan Pustaka,9786022426813,2017,800,Sastra,75000,1,Diamond Girls
Let's Bake Cookies,Izzati ,PT. Mizan Pustaka,9786024203665,2017,800,Sastra,75000,1,Let's Bake Cookies
Ice Skating Girl,Fayanna Ailisha Davianny,PT Mizan Pustaka,9786022427612,2016,800,Sastra,75000,1,Ice Skating Girl
The New World,Aldini Pratiwi,DAR Mizan,9786022427223,2015,800,Sastra,75000,1,The New World
New Besties,Oryza Sativa Apriyani,DAR Mizan,9786022429746,2016,800,Sastra,75000,1,New Besties
Mother's Day,Ghaisani Azmi Rahmaniyah,DAR Mizan,9786022426585,2015,800,Sastra,75000,1,Mother's Day
Manusia Sejuta Fobia,Aisya Aulia Sudrajat,PT. Mizan Pustaka,9786024201067,2016,800,Sastra,75000,1,Manusia Sejuta Fobia
From Hater to Lover,Aisya Aulia Sudrajat,PT. Mizan Pustaka,9786022428978,2016,800,Sastra,75000,1,From Hater to Lover
My Writing World,Archea Asy-Syafaah Prissandi,PT. Mizan Pustaka,9786022427230,2015,800,Sastra,75000,1,My Writing World
The Seven Angels,Adellia Shaka Fitria,DAR Mizan,9786022427018,2016,800,Sastra,75000,1,The Seven Angels
1000 Bangau Kertas,Ezokanzo,Gema Insani Press,9795600664,2005,800,Sastra,75000,1,1000 Bangau Kertas
